LineNumber;OrderItemId;OrderId;BuyerName;BuyerEmail;Address;Postcode;SalePrice;ShippingPrice;SKU;Status;OrderDate
1;1;1;Kiss Béla;kiss.bela@vmi.com;Budapest, Könyves Kálmán utca 12.;1002;3000.00;900.00;12345-AB;IN_STOCK;2018-11-16
2;2;1;Kiss Béla;kiss.bela@vmi.com;Budapest, Könyves Kálmán utca 12.;1002;5000.00;1000.00;12346-AC;IN_STOCK;2018-11-17
3;3;2;Kovács István;kovacs.istvan@akarmi.com;Debrecen, Mester utca 6.;4026;4500.00;900.00;12345-AD;OUT_OF_STOCK;
4;4;3;Szabó János;szabo.janos@barmi.hu;Balatonlelle, Fõ utca 18.;8965;9000.00;1500.00;12345-AF;IN_STOCK;
5;5;4;Gál Mária;gal.maria@vmi.com;Harkány, Kölcsey Ferenc tér 4.;7565;15000.00;2000.00;12345-AG;IN_STOCK;2018-11-16
6;6;7;Nagy Ákos;nagy.akos@@akarmi.hu;Keszthely, Kossuth utca 5.;4752;7845.00;1000.00;12345-AH;IN_STOCK;
7;7;8;Kiss Isvtán;kiss.istvan@vmi.hu;;6541;2369.00;500.00;12345-AJ;IN_STOCK;
8;8;9;Nagy Kálmán;nagy.kalman@akarmi.hu;Debrecen, Piac utca 6.;4032;1560.50;500.00;12345-AI;OUT_OF_STOCK;2018.05.20
9;9;10;Kiss Virág;kiss.virag@barmi.com;Budapest, Tétényi út 56.;abc;5000.00;1000.00;12345-AG;IN_STOCK;
10;10;11;Mester Péter;mester.peter@vmi.hu;Pécs, Alkotmány utca 40;7625;-8000;1500.00;12345-AI;IN_STOCK;
11;11;12;Simon Katalin;simon.katalin@vmi.hu;Székesfehérvár, Fõ utca 23.;4561;4500.00;-1.00;12345-AI;OUT_OF_STOCK;
12;12;13;Kovács Éva;kovacs.eva@akarmi.hu;Budapest, Tétényi út 34.;1545;6500.00;990.00;12345-AH;jndfkjn;
3;3;2;Kovács István;kovacs.istvan@akarmi.com;Debrecen, Mester utca 6.;4026;4500.00;900.00;12345-AD;OUT_OF_STOCK;
